County,Employment_Rate,Income,Inflation,Air_Quality,Water_Quality,Land_Fertility,Waste_Management,Education,Healthcare,Transportation,Crime,Politics,Disaster_Risks,Civic_Engagement
Londonderry,0.65,0.6,0.52,0.88,0.85,0.8,0.78,0.65,0.68,0.6,0.38,0.41,0.15,0.7
Tyrone,0.69,0.59,0.54,0.92,0.88,0.88,0.82,0.55,0.58,0.52,0.22,0.41,0.12,0.75
Aberdeen,0.82,0.85,0.8,0.92,0.88,0.85,0.82,0.72,0.7,0.65,0.15,0.41,0.08,0.88
Angus,0.75,0.68,0.65,0.88,0.85,0.92,0.8,0.65,0.68,0.6,0.22,0.41,0.12,0.82
Argyll,0.68,0.62,0.58,0.98,0.95,0.82,0.9,0.52,0.55,0.45,0.18,0.41,0.02,0.85
Ayr,0.72,0.65,0.62,0.82,0.85,0.78,0.75,0.62,0.65,0.68,0.35,0.41,0.28,0.75
Banff,0.7,0.6,0.55,0.95,0.92,0.95,0.85,0.55,0.58,0.48,0.15,0.41,0.08,0.8
Berwick,0.74,0.68,0.62,0.92,0.88,0.9,0.82,0.58,0.6,0.52,0.2,0.41,0.12,0.85
Bute,0.65,0.55,0.48,0.98,0.95,0.75,0.92,0.45,0.48,0.4,0.12,0.41,0.02,0.78
Caithness,0.62,0.52,0.45,0.98,0.96,0.85,0.94,0.42,0.45,0.35,0.08,0.41,0.02,0.82
Clackmannan,0.7,0.62,0.58,0.75,0.72,0.68,0.65,0.72,0.75,0.78,0.42,0.41,0.35,0.68
Dumbarton,0.68,0.6,0.55,0.65,0.68,0.62,0.6,0.75,0.72,0.74,0.45,0.41,0.38,0.65
Dumfries,0.72,0.64,0.6,0.88,0.85,0.88,0.82,0.6,0.62,0.55,0.22,0.41,0.12,0.82
East_Lothian,0.85,0.82,0.78,0.82,0.85,0.8,0.75,0.78,0.82,0.8,0.25,0.41,0.15,0.88
Fife,0.78,0.72,0.68,0.78,0.82,0.75,0.72,0.72,0.75,0.7,0.32,0.41,0.25,0.72
Glasgow,0.65,0.68,0.62,0.55,0.72,0.4,0.55,0.82,0.78,0.85,0.58,0.41,0.35,0.7
Inverness,0.68,0.62,0.58,0.98,0.95,0.82,0.88,0.5,0.52,0.45,0.18,0.41,0.05,0.85
Kincardine,0.78,0.7,0.65,0.92,0.88,0.9,0.82,0.68,0.72,0.6,0.2,0.41,0.12,0.85
Kinross,0.8,0.75,0.72,0.88,0.85,0.9,0.8,0.65,0.68,0.62,0.18,0.41,0.1,0.88
Kirkcudbright,0.72,0.65,0.6,0.95,0.92,0.95,0.88,0.52,0.55,0.48,0.12,0.41,0.05,0.85
Lanark,0.62,0.58,0.52,0.58,0.65,0.55,0.58,0.72,0.7,0.75,0.52,0.41,0.45,0.62
Midlothian,0.82,0.85,0.8,0.68,0.78,0.55,0.65,0.85,0.88,0.82,0.35,0.41,0.25,0.82
Moray,0.75,0.68,0.65,0.95,0.92,0.98,0.85,0.62,0.65,0.55,0.15,0.41,0.05,0.85
Nairn,0.72,0.65,0.6,0.98,0.95,0.92,0.9,0.55,0.58,0.5,0.12,0.41,0.02,0.88
Orkney,0.78,0.72,0.68,0.99,0.98,0.8,0.95,0.48,0.5,0.35,0.05,0.41,0.01,0.92
Zetland,0.75,0.7,0.65,0.99,0.98,0.7,0.95,0.45,0.48,0.3,0.05,0.41,0.01,0.9
Peebles,0.82,0.78,0.75,0.92,0.88,0.92,0.82,0.6,0.62,0.58,0.18,0.41,0.08,0.88
Perth,0.75,0.7,0.65,0.88,0.85,0.92,0.8,0.68,0.72,0.64,0.22,0.41,0.12,0.85
Renfrew,0.7,0.65,0.6,0.62,0.68,0.55,0.6,0.78,0.8,0.82,0.42,0.41,0.32,0.72
Ross_&_Cromarty,0.65,0.58,0.52,0.98,0.95,0.85,0.92,0.48,0.5,0.42,0.15,0.41,0.02,0.82
Roxburgh,0.74,0.68,0.62,0.9,0.85,0.92,0.8,0.58,0.62,0.55,0.2,0.41,0.1,0.85
Selkirk,0.78,0.72,0.68,0.92,0.88,0.95,0.85,0.6,0.62,0.58,0.18,0.41,0.08,0.88
Stirling,0.75,0.7,0.65,0.78,0.75,0.72,0.7,0.75,0.78,0.76,0.35,0.41,0.22,0.75
Sutherland,0.6,0.5,0.45,0.99,0.96,0.95,0.92,0.4,0.42,0.32,0.08,0.41,0.01,0.85
Wigtown,0.68,0.6,0.55,0.95,0.92,0.9,0.88,0.48,0.5,0.42,0.12,0.41,0.05,0.82
West_Lothian,0.78,0.72,0.68,0.65,0.7,0.6,0.62,0.8,0.82,0.85,0.45,0.41,0.35,0.78
